020d5fad124d08db9a6b75276b5826a22f705808 -#- 2022-01-24 16:25:32 -0500 -#- Natacha Beck -#- cbrain_task/civet/portal/civet.rb
8afaf51e22b1f413bf847e367cb0d734c7a5714d -#- 2022-07-20 15:37:29 -0400 -#- Natacha Beck -#- cbrain_task/civet/views/_civet_file_from_col.html.erb
8afaf51e22b1f413bf847e367cb0d734c7a5714d -#- 2022-07-20 15:37:29 -0400 -#- Natacha Beck -#- cbrain_task/civet/views/_civet_file_from_list.html.erb
b20da6ac77a5eb4805a80d9e74cb2700acbff75f -#- 2016-06-02 20:25:12 -0400 -#- Pierre Rioux -#- cbrain_task/civet/views/_deprecated_warning.html.erb
b20da6ac77a5eb4805a80d9e74cb2700acbff75f -#- 2016-06-02 20:25:12 -0400 -#- Pierre Rioux -#- cbrain_task/civet/views/_show_params.html.erb
020d5fad124d08db9a6b75276b5826a22f705808 -#- 2022-01-24 16:25:32 -0500 -#- Natacha Beck -#- cbrain_task/civet/views/_task_params.html.erb
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/civet_flowchart.png
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/cortical_thick_blurring.png
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/cortical_thick_vertex.png
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/cortical_thickness.png
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/gray_matter_expansion.png
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/gray_matter_surface.png
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/surface_blurring.png
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/surface_registration.png
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/volume_estimation.png
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet/views/public/civet_info/white_matter_extraction.png
01ec2d30a0ee602d2801bb900688a6440bee30d7 -#- 2019-09-10 15:24:49 -0400 -#- Pierre Rioux -#- cbrain_task/civet/views/public/edit_params_help.html
01ec2d30a0ee602d2801bb900688a6440bee30d7 -#- 2019-09-10 15:24:49 -0400 -#- Pierre Rioux -#- cbrain_task/civet/views/public/tool_info.html
bb1aea4910bede4c5737bab78bb4768f172c8221 -#- 2022-02-17 09:45:30 -0500 -#- Pierre Rioux -#- cbrain_task/civet_combiner/bourreau/civet_combiner.rb
7a23e6d10c47ac1edd0d434b27fc6225c1c1034d -#- 2021-04-07 12:42:57 -0400 -#- Pierre Rioux -#- cbrain_task/civet_combiner/portal/civet_combiner.rb
1dafc55e4f658d6a146d30d2abd77f90e12e7779 -#- 2017-04-07 12:30:03 -0400 -#- Andrew Doyle -#- cbrain_task/civet_combiner/views/_show_params.html.erb
c8cd7ac188c712e14f3394a5debeab681c931849 -#- 2019-04-16 11:58:22 -0400 -#- Pierre Rioux -#- cbrain_task/civet_combiner/views/_task_params.html.erb
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet_combiner/views/public/edit_params_help.html
360993c6eb23c42f109ef2ebd2b8f38b446a125c -#- 2023-01-24 14:34:53 -0500 -#- Natacha Beck -#- cbrain_task/civet_macaque/bourreau/civet_macaque.rb
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/common/civet_macaque.rb
c8a95c121833dbd30e7c41466c6bca3c867a0f1f -#- 2022-08-09 11:40:10 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/portal/civet_macaque.rb
8afaf51e22b1f413bf847e367cb0d734c7a5714d -#- 2022-07-20 15:37:29 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/_civet_macaque_file_from_col.html.erb
079d885a362ef4f89668085dffb0b7ad1ed71948 -#- 2022-08-12 09:13:35 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/_civet_macaque_file_from_list.html.erb
c8a95c121833dbd30e7c41466c6bca3c867a0f1f -#- 2022-08-09 11:40:10 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/_show_params.html.erb
c8a95c121833dbd30e7c41466c6bca3c867a0f1f -#- 2022-08-09 11:40:10 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/_task_params.html.erb
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/civet_flowchart.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/cortical_thick_blurring.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/cortical_thick_vertex.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/cortical_thickness.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/gray_matter_expansion.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/gray_matter_surface.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/surface_blurring.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/surface_registration.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/volume_estimation.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/civet_info/white_matter_extraction.png
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/edit_params_help.html
da8d7153b4740fa6b573f92c04b8582b3d755a2f -#- 2021-03-19 11:29:27 -0400 -#- Natacha Beck -#- cbrain_task/civet_macaque/views/public/tool_info.html
e9b97af1cde2a694c2d34e29c730ae6f46d99faa -#- 2021-04-07 14:51:40 -0400 -#- Pierre Rioux -#- cbrain_task/civet_qc/bourreau/civet_qc.rb
0c1954fa9a06e558eb892ba8f3e2b3e5e819cc25 -#- 2019-10-15 12:57:44 -0400 -#- Pierre Rioux -#- cbrain_task/civet_qc/portal/civet_qc.rb
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet_qc/views/_show_params.html.erb
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet_qc/views/_task_params.html.erb
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/civet_qc/views/public/edit_params_help.html
c9956fb071be7dc79f55a2f4de44187c2449da7a -#- 2015-04-20 16:18:08 -0400 -#- Natacha Beck -#- cbrain_task/dcm2mnc/bourreau/dcm2mnc.rb
ec1bbb8a1cba3f3a656b1ec04bded0371aa307ec -#- 2016-01-29 17:00:55 -0500 -#- Remi Bernard -#- cbrain_task/dcm2mnc/portal/dcm2mnc.rb
b6809eab52aeeb67e563911bd09a8f31bc402c0b -#- 2015-01-13 14:14:12 -0500 -#- Pierre Rioux -#- cbrain_task/dcm2mnc/views/_show_params.html.erb
